"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence"
"06/12/2023","6","8.75 km","1.46 km","4.99 km","2:47:21 h:m:s","1,214","303 m","3.1 kph","19:07 /km","129 bpm","126 spm"
"06/05/2023","4","26.95 km","6.74 km","11.46 km","2:16:25 h:m:s","1,242","175 m","11.9 kph","5:04 /km","109 bpm","134 spm"
"05/29/2023","9","46.05 km","5.12 km","12.10 km","6:08:31 h:m:s","2,672","836 m","7.5 kph","8:00 /km","120 bpm","138 spm"
"05/22/2023","12","45.56 km","3.80 km","10.87 km","4:26:32 h:m:s","1,932","384 m","10.3 kph","5:51 /km","127 bpm","134 spm"
"05/15/2023","6","51.98 km","8.66 km","26.02 km","4:05:32 h:m:s","2,049","625 m","12.7 kph","4:43 /km","123 bpm","125 spm"
"05/08/2023","7","29.74 km","4.25 km","7.24 km","4:00:31 h:m:s","2,219","413 m","7.4 kph","8:05 /km","143 bpm","146 spm"
"05/01/2023","7","26.78 km","3.83 km","11.99 km","3:06:20 h:m:s","1,122","207 m","8.6 kph","6:57 /km","114 bpm","137 spm"
"04/24/2023","7","29.04 km","4.15 km","5.50 km","3:36:39 h:m:s","1,998","456 m","8.0 kph","7:28 /km","--","153 spm"
"04/17/2023","4","20.56 km","5.14 km","5.87 km","3:10:37 h:m:s","1,550","877 m","6.5 kph","9:16 /km","158 bpm","148 spm"
"04/10/2023","6","36.99 km","6.17 km","8.94 km","3:38:31 h:m:s","2,638","522 m","10.2 kph","5:54 /km","--","157 spm"
"04/03/2023","10","40.15 km","4.01 km","5.73 km","4:16:59 h:m:s","2,883","490 m","9.4 kph","6:24 /km","--","154 spm"
"03/27/2023","6","53.19 km","8.87 km","20.66 km","4:30:29 h:m:s","2,782","483 m","11.8 kph","5:05 /km","122 bpm","151 spm"
"03/20/2023","6","40.23 km","6.70 km","11.56 km","4:58:05 h:m:s","2,666","572 m","8.1 kph","7:25 /km","116 bpm","146 spm"
"03/13/2023","6","42.91 km","7.15 km","10.23 km","5:00:08 h:m:s","2,886","577 m","8.6 kph","7:00 /km","108 bpm","150 spm"
"03/06/2023","6","35.49 km","5.91 km","9.75 km","3:46:53 h:m:s","2,419","542 m","9.4 kph","6:24 /km","90 bpm","151 spm"
"02/27/2023","5","10.08 km","2.02 km","5.82 km","2:30:35 h:m:s","1,061","304 m","4.0 kph","14:56 /km","100 bpm","132 spm"
"02/20/2023","5","36.84 km","7.37 km","13.02 km","4:02:07 h:m:s","2,972","723 m","9.1 kph","6:34 /km","107 bpm","150 spm"
"02/13/2023","6","33.59 km","5.60 km","11.63 km","4:29:28 h:m:s","2,752","1,187 m","7.5 kph","8:01 /km","114 bpm","143 spm"
"02/06/2023","5","22.39 km","4.48 km","12.62 km","3:13:35 h:m:s","2,028","415 m","6.9 kph","8:39 /km","107 bpm","141 spm"
"01/30/2023","4","8.32 km","2.08 km","8.32 km","2:44:28 h:m:s","1,085","342 m","3.0 kph","19:46 /km","109 bpm","124 spm"
"01/23/2023","6","32.32 km","5.39 km","11.83 km","4:40:56 h:m:s","2,707","596 m","6.9 kph","8:42 /km","123 bpm","145 spm"
"01/16/2023","7","28.94 km","4.13 km","9.12 km","4:35:33 h:m:s","2,334","523 m","6.3 kph","9:31 /km","125 bpm","142 spm"
"01/09/2023","7","34.24 km","4.89 km","12.16 km","5:10:04 h:m:s","3,244","2,424 m","6.6 kph","9:03 /km","123 bpm","139 spm"
"01/02/2023","6","34.73 km","5.79 km","12.58 km","5:12:53 h:m:s","2,806","1,352 m","6.7 kph","9:01 /km","102 bpm","140 spm"
"12/26/2022","5","27.52 km","5.50 km","11.77 km","4:29:34 h:m:s","2,281","1,254 m","6.1 kph","9:48 /km","118 bpm","139 spm"
"12/19/2022","6","26.64 km","4.44 km","8.16 km","3:30:53 h:m:s","2,269","152 m","7.6 kph","7:55 /km","116 bpm","145 spm"
"12/12/2022","8","30.75 km","3.84 km","11.11 km","5:43:44 h:m:s","2,847","1,235 m","5.4 kph","11:11 /km","107 bpm","135 spm"
"12/05/2022","8","22.12 km","2.76 km","9.65 km","5:18:36 h:m:s","3,069","1,113 m","4.2 kph","14:24 /km","132 bpm","133 spm"
"11/28/2022","5","1.49 km","0.30 km","1.49 km","3:09:44 h:m:s","1,716","--","0.5 kph","2:07:07 /km","124 bpm","129 spm"
"11/21/2022","9","49.27 km","5.47 km","13.96 km","4:57:33 h:m:s","3,118","406 m","9.9 kph","6:02 /km","130 bpm","125 spm"
"11/14/2022","6","48.43 km","8.07 km","16.87 km","5:53:37 h:m:s","2,986","1,279 m","8.2 kph","7:18 /km","--","140 spm"
"11/07/2022","4","30.39 km","7.60 km","10.16 km","3:19:21 h:m:s","2,243","702 m","9.1 kph","6:34 /km","--","158 spm"
"10/31/2022","4","40.95 km","10.24 km","14.07 km","3:56:31 h:m:s","3,198","775 m","10.4 kph","5:47 /km","--","159 spm"
"10/24/2022","4","37.19 km","9.30 km","16.41 km","3:45:48 h:m:s","2,866","842 m","9.9 kph","6:04 /km","--","158 spm"
"10/17/2022","3","11.45 km","3.82 km","8.51 km","1:28:54 h:m:s","877","148 m","7.7 kph","7:46 /km","108 bpm","142 spm"
"10/10/2022","3","38.54 km","12.85 km","13.16 km","3:59:29 h:m:s","2,934","1,171 m","9.7 kph","6:13 /km","--","156 spm"
"10/03/2022","2","26.06 km","13.03 km","13.05 km","2:29:24 h:m:s","2,083","551 m","10.5 kph","5:44 /km","--","161 spm"
"09/26/2022","8","41.89 km","5.24 km","12.12 km","5:46:09 h:m:s","2,973","868 m","7.3 kph","8:16 /km","115 bpm","143 spm"
"09/19/2022","5","57.42 km","11.48 km","20.97 km","4:23:21 h:m:s","3,536","1,554 m","13.1 kph","4:35 /km","158 bpm","161 spm"
"09/12/2022","6","42.24 km","7.04 km","11.01 km","4:03:35 h:m:s","2,610","530 m","10.4 kph","5:46 /km","140 bpm","157 spm"
"09/05/2022","7","51.29 km","7.33 km","10.84 km","6:20:27 h:m:s","3,604","1,048 m","8.1 kph","7:25 /km","137 bpm","149 spm"
"08/29/2022","7","72.25 km","10.32 km","30.22 km","5:56:37 h:m:s","3,250","709 m","12.2 kph","4:56 /km","129 bpm","141 spm"
"08/22/2022","5","34.45 km","6.89 km","11.04 km","4:05:20 h:m:s","2,867","528 m","8.4 kph","7:07 /km","154 bpm","157 spm"
"08/15/2022","3","18.31 km","6.10 km","9.48 km","2:20:42 h:m:s","1,438","248 m","7.8 kph","7:41 /km","136 bpm","145 spm"
"08/08/2022","11","67.14 km","6.10 km","13.94 km","5:41:57 h:m:s","4,375","1,063 m","11.8 kph","5:06 /km","158 bpm","79 spm"
"08/01/2022","4","35.28 km","8.82 km","12.04 km","3:37:10 h:m:s","2,353","493 m","9.7 kph","6:09 /km","--","147 spm"
"07/25/2022","11","56.39 km","5.13 km","9.14 km","4:33:55 h:m:s","3,228","400 m","12.4 kph","4:51 /km","--","155 spm"
